Abies	Alnus	Betula	Carpinus	Castanea	Cedrus	Corylus	Ephedra	Fagus	Juniperus	Larix	Olea	Ostrya	Phillyrea	Picea	Pinus_D	Pinus_H	Pistacia	Quercus_D	Quercus_E	Salix	Tilia	Ulmus	Artemisia	Chenopodiaceae	Cyperaceae	Ericales	Gramineae
0	36	136	0	0	4	105	0	9	0	2	0	0	0	13	209	0	0	36	0	18	0	5	0	0	29	65	332
0	31	64	0	0	0	99	0	3	0	0	0	0	0	3	122	0	0	51	0	5	0	8	0	3	145	97	370
0	81	84	0	0	0	189	0	0	0	0	0	0	0	0	35	0	0	65	0	8	0	11	0	0	46	108	375
0	97	134	0	0	0	211	0	0	0	0	0	0	0	0	14	0	0	125	0	26	0	11	6	0	51	71	254
0	79	117	0	0	0	223	0	0	0	0	0	0	0	0	20	0	0	79	0	15	0	6	0	0	91	79	290
0	65	106	0	0	0	179	0	3	0	0	0	0	0	0	22	0	0	84	0	16	0	19	0	3	51	84	369
0	115	100	0	0	0	195	0	0	0	0	0	0	0	0	37	0	0	75	0	20	0	6	0	0	63	92	298
0	82	96	0	0	0	203	0	0	0	0	0	0	0	0	34	0	0	82	0	14	0	11	0	3	48	82	345
0	108	144	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	108	0	44	0	8	0	0	104	24	268
0	95	188	3	0	0	196	0	0	0	0	0	0	0	0	20	0	0	118	0	26	0	6	3	3	43	40	257
0	90	193	0	0	0	222	0	0	0	0	0	0	0	0	32	0	0	71	0	39	0	13	3	0	93	45	199
0	131	91	0	0	0	216	0	0	0	0	0	0	0	0	20	0	0	88	0	17	0	11	0	0	14	114	298
0	86	159	0	0	0	169	0	0	0	0	0	0	0	0	7	0	0	109	0	63	0	0	0	0	43	36	328
0	128	191	0	0	0	234	0	0	0	0	0	0	0	0	14	0	0	120	0	168	0	3	0	0	11	20	111
0	132	178	3	0	0	230	0	0	0	0	0	0	0	0	27	0	0	84	0	146	0	11	3	0	32	24	130
0	98	158	0	0	0	178	0	0	0	0	0	0	0	0	15	0	0	132	0	212	0	23	0	0	34	18	132
0	122	155	0	0	0	210	0	0	0	0	0	0	0	0	29	0	0	250	0	24	0	16	2	0	26	26	142
0	77	144	0	0	0	245	0	0	0	0	0	0	0	0	32	0	0	86	0	73	0	17	0	0	11	21	295
0	89	126	0	0	0	210	0	0	0	0	0	0	0	0	21	0	0	155	0	202	0	8	0	0	21	24	144
0	94	227	0	0	0	191	0	0	0	0	0	0	0	0	17	0	0	150	0	166	0	8	0	0	8	22	116
0	108	242	0	0	0	233	0	0	0	0	0	0	0	0	53	0	0	147	0	86	0	11	0	0	8	14	97
0	77	163	0	0	0	225	0	2	0	0	0	0	0	0	20	0	0	160	0	174	0	11	0	0	11	18	141
0	89	206	0	0	0	214	0	0	0	0	0	0	0	0	21	0	0	157	0	165	0	16	0	0	10	23	99
0	132	147	0	0	0	277	0	2	0	0	0	0	0	0	45	0	0	158	0	45	0	14	0	0	12	33	135
0	123	159	0	0	0	201	0	0	0	0	0	0	0	0	26	0	0	201	0	73	0	10	0	0	13	26	167
0	73	132	0	0	0	165	0	0	0	0	0	0	0	0	35	0	0	116	0	103	0	5	3	0	11	57	300
0	111	172	0	0	0	185	0	0	0	0	0	0	0	0	26	0	0	220	0	93	0	11	0	0	18	18	145
0	103	253	0	0	0	158	0	3	0	0	0	0	0	0	27	0	0	171	0	65	0	14	0	0	8	19	179
0	147	167	0	0	0	189	0	0	0	0	0	0	0	0	28	0	0	243	0	45	0	14	0	0	14	28	124
0	121	215	0	0	0	188	0	0	0	0	0	0	0	0	24	0	0	177	0	86	0	13	0	3	19	22	132
0	119	177	0	0	0	146	0	0	0	0	0	0	0	0	48	0	0	201	0	108	0	16	0	0	11	24	151
0	136	292	0	0	0	125	0	0	0	0	0	0	0	0	20	0	0	159	0	65	0	17	0	0	6	40	142
0	118	224	0	0	0	198	0	0	0	0	0	0	0	0	16	0	0	225	0	44	0	9	0	0	11	16	138
0	130	194	0	0	0	161	0	0	0	0	0	0	0	0	31	0	0	214	0	62	0	11	0	0	13	28	156
0	116	186	0	0	0	207	0	0	0	0	0	0	0	0	12	0	0	224	0	58	0	12	0	0	24	22	140
0	175	132	0	0	0	205	0	0	0	0	0	0	0	0	28	0	0	117	0	16	0	2	0	0	18	55	253
0	137	165	0	0	0	228	0	0	0	0	0	0	0	0	25	0	0	180	0	101	0	10	0	0	17	20	116
0	177	130	0	0	0	189	0	0	0	0	0	0	0	0	15	0	0	234	0	111	0	5	0	0	13	18	108
0	219	131	0	0	0	266	0	0	0	0	0	0	0	0	16	0	0	175	0	51	0	9	0	2	9	18	106
0	97	184	0	0	0	237	0	0	0	0	0	0	0	0	12	0	0	206	0	130	0	3	0	0	29	14	87
0	139	176	0	0	0	188	0	0	0	0	0	0	0	0	9	0	0	169	0	147	0	9	0	0	21	16	126
0	112	175	0	0	0	229	0	0	0	0	0	0	0	0	17	0	0	139	0	149	0	3	0	0	32	12	131
0	156	148	0	0	0	218	0	0	0	0	0	0	0	0	33	0	0	176	0	30	0	5	0	0	33	26	174
0	132	169	0	0	0	209	0	0	0	0	0	0	0	0	20	0	0	202	0	80	0	15	0	0	15	22	137
0	137	167	0	0	0	179	0	0	0	0	0	0	0	0	19	0	0	184	0	120	0	10	0	0	29	20	135
0	130	208	0	0	0	194	0	3	0	0	0	0	0	0	20	0	0	163	0	59	0	6	0	0	45	31	141
0	138	216	0	0	0	213	0	0	0	0	0	0	0	0	22	0	0	174	0	56	0	6	0	0	20	20	135
0	128	199	0	0	0	175	0	0	0	0	0	0	0	0	22	0	0	243	0	46	0	8	0	0	19	30	128
0	120	219	0	0	0	236	0	0	0	0	0	0	0	0	26	0	0	120	0	31	0	8	0	0	40	26	174
0	121	190	0	0	0	244	0	0	0	0	0	0	0	0	32	0	0	124	0	11	0	6	0	0	14	34	224
0	156	150	0	0	0	241	0	0	0	0	0	0	0	0	28	0	0	216	0	34	0	0	0	0	19	16	141
0	164	152	0	0	0	238	0	0	0	0	0	0	0	0	31	0	0	201	0	46	0	6	0	0	16	9	136
0	162	213	0	0	0	250	0	0	0	0	0	0	0	0	18	0	0	201	0	15	3	15	0	0	18	3	101
0	150	191	0	0	0	197	0	0	0	0	0	0	0	0	25	0	0	194	0	45	0	16	0	0	22	16	143
0	125	191	0	0	0	208	0	3	0	0	0	0	0	0	33	0	0	211	0	9	0	9	0	0	21	21	170
0	129	132	0	0	0	272	0	0	0	0	0	0	0	0	39	0	0	256	0	8	0	14	0	0	22	17	110
0	167	173	0	0	0	256	0	0	0	0	0	0	0	0	29	0	0	182	0	12	0	12	0	0	20	17	133
0	192	141	0	0	0	243	0	0	0	0	0	0	0	0	34	0	0	243	0	20	0	9	0	0	3	9	107
0	178	190	0	0	0	244	0	0	0	0	0	0	0	0	12	0	0	163	0	57	0	36	0	0	6	12	102
0	172	129	0	0	0	212	0	3	0	0	0	0	0	0	43	0	0	215	0	46	0	3	3	0	9	18	147
0	176	218	0	0	0	197	0	0	0	0	0	0	0	0	19	0	0	205	0	32	0	13	0	0	8	8	125
0	247	131	0	0	0	225	0	0	0	0	0	0	0	0	19	0	0	206	0	22	0	17	3	0	6	11	114
0	211	124	0	0	0	205	0	0	0	0	0	0	0	0	27	0	0	223	0	63	0	0	0	0	9	9	130
0	234	172	0	0	0	178	0	0	0	0	0	0	0	0	44	0	0	181	0	35	0	15	0	0	12	15	114
0	156	101	0	0	0	205	0	0	0	0	0	0	0	0	55	0	0	231	0	78	0	10	0	3	10	29	120
0	187	128	0	0	0	243	0	0	0	0	0	0	0	0	37	0	0	192	0	35	0	11	0	0	21	21	123
0	174	147	0	0	0	198	0	0	0	0	0	0	0	0	57	0	0	222	0	36	0	6	0	0	9	18	135
0	205	155	0	0	0	188	0	0	0	0	0	0	0	0	39	0	0	285	0	15	0	12	0	0	12	5	85
0	228	103	0	0	0	160	0	0	0	0	0	0	0	0	34	0	0	291	0	26	0	6	0	0	11	26	117
0	180	91	0	0	0	214	0	0	0	0	0	0	0	0	14	0	0	313	0	31	0	34	0	0	11	23	88
0	141	155	0	0	0	236	0	0	0	0	0	0	0	0	32	0	0	262	0	34	0	14	0	0	23	6	98
0	245	112	0	0	0	194	0	0	0	0	0	0	0	0	48	0	0	226	0	35	0	13	3	0	5	11	109
0	273	118	0	0	0	238	0	2	0	0	0	0	0	0	45	0	0	163	0	48	0	5	0	0	12	20	75
0	155	122	0	0	0	271	0	0	0	0	0	0	0	0	28	0	0	260	0	36	0	11	0	0	11	11	97
0	195	107	0	0	0	247	0	0	0	0	0	0	0	0	46	0	0	220	0	37	0	15	0	6	12	12	104
0	249	150	0	0	0	195	0	0	0	0	0	0	0	0	54	0	0	192	0	23	0	14	0	0	6	14	105
0	210	123	0	0	0	216	0	0	0	0	0	0	0	0	53	0	0	199	0	36	0	6	0	0	11	11	134
0	183	155	0	0	0	189	0	0	0	0	0	0	0	0	56	0	0	261	0	50	0	12	0	0	25	3	65
0	213	105	0	0	0	238	0	0	0	0	0	0	0	0	39	0	0	260	0	30	0	11	0	0	17	8	78
0	193	112	0	0	0	232	0	0	0	0	0	0	0	0	42	0	0	253	0	23	0	18	0	0	16	13	97
0	211	101	0	0	0	222	0	0	0	0	0	0	0	0	110	0	0	199	0	25	0	22	0	0	8	28	73
0	192	71	0	0	0	218	0	0	0	0	0	0	0	0	42	0	0	341	0	26	0	5	0	0	8	11	87
0	256	107	0	0	0	150	0	0	0	0	0	0	0	0	89	0	0	312	0	18	0	8	0	0	3	5	53
0	260	94	0	0	0	211	0	0	0	0	0	0	0	0	74	0	0	260	0	11	0	9	0	0	9	11	60
