Abies	Alnus	Betula	Carpinus	Castanea	Cedrus	Corylus	Ephedra	Fagus	Juniperus	Larix	Olea	Ostrya	Phillyrea	Picea	Pinus.D	Pinus.H	Pistacia	Quercus.D	Quercus.E	Salix	Tilia	Ulmus	Artemisia	Chenopodiaceae	Cyperaceae	Ericales.	Gramineae	
3	54	4	4	11	0	9	0	17	3	0	5	23	4	0	4	0	0	105	0	3	0	3	10	3	12	0	56	
1	55	6	9	8	1	15	0	29	4	0	5	12	5	0	4	0	0	130	0	8	0	3	6	0	6	2	51	
1	85	3	11	5	0	10	0	16	0	0	3	15	3	0	5	0	0	79	0	5	1	1	2	2	6	1	56	
0	74	0	12	0	0	12	0	19	0	0	1	20	0	0	3	0	2	148	5	5	0	5	1	2	2	2	40	
0	70	0	13	3	0	6	0	30	0	0	3	21	2	0	0	0	2	67	3	4	0	0	2	1	1	1	59	
0	96	1	13	4	0	6	0	24	0	0	2	29	0	0	0	0	0	77	1	5	0	1	4	3	4	0	64	
12	36	3	13	1	0	18	0	24	2	0	4	26	1	0	1	0	0	117	11	3	1	5	2	2	3	0	32	
1	39	1	50	0	0	14	0	24	1	0	3	27	0	0	2	0	3	180	21	3	0	1	3	2	5	0	54	
0	105	1	34	1	0	2	0	32	2	0	5	27	0	0	1	0	7	181	4	7	0	3	3	0	1	0	46	
1	82	3	24	0	0	10	0	37	0	0	5	9	0	0	2	0	1	154	4	7	3	3	3	2	3	0	38	
2	94	2	15	7	0	5	1	34	1	0	1	17	1	0	1	0	0	81	0	5	0	2	4	2	6	2	51	
1	78	0	25	1	0	24	0	24	1	0	4	35	0	0	1	0	2	195	20	4	1	3	4	0	0	0	54	
1	87	1	33	0	0	4	0	47	1	0	3	54	4	0	0	0	0	165	3	4	1	4	1	2	1	2	9	
1	98	4	29	1	0	16	0	29	0	0	1	19	1	0	4	0	0	145	14	6	2	6	1	0	1	0	44	
0	80	3	17	2	0	15	0	29	1	0	8	32	0	0	3	0	1	175	14	8	1	3	5	2	2	0	56	
1	43	1	15	3	0	11	0	27	0	0	6	32	2	0	2	0	3	85	14	1	0	4	4	4	6	2	92	
0	56	1	18	1	0	8	0	20	0	0	4	38	0	0	3	0	1	64	15	1	0	3	5	4	8	0	62	
1	65	1	27	4	0	10	0	29	1	0	4	16	1	0	1	0	2	78	13	8	0	2	5	3	6	1	62	
0	69	4	14	8	0	4	0	27	0	0	0	31	2	0	0	0	0	163	0	5	0	2	1	1	2	1	13	
1	67	1	17	1	0	7	0	36	1	0	3	27	0	0	0	0	5	81	11	2	0	6	2	0	1	2	58	
1	71	2	26	0	0	5	0	71	0	0	2	35	0	0	0	0	2	126	19	5	0	4	3	2	1	1	35	
0	56	2	16	3	0	11	1	77	1	0	1	46	1	0	2	0	4	130	5	2	0	2	0	2	0	4	38	
2	64	0	25	0	0	3	0	53	0	0	1	17	2	0	1	0	3	92	8	3	0	0	1	4	2	1	31	
1	62	3	16	1	0	0	0	48	0	0	3	25	0	0	4	0	0	101	12	2	0	3	4	2	1	1	33	
1	36	2	29	3	0	5	0	70	0	0	3	22	0	0	3	0	2	120	9	2	0	4	2	0	2	0	50	
1	45	1	32	0	0	8	0	69	0	0	10	47	3	0	0	0	4	85	15	0	0	2	0	1	0	0	26	
0	33	3	15	3	0	5	0	87	1	0	3	29	0	0	0	0	0	124	0	0	0	3	0	2	2	0	23	
0	76	1	73	1	0	13	0	108	1	0	20	45	0	0	3	0	6	182	28	0	1	3	1	0	0	0	21	
0	47	1	67	1	0	12	0	48	3	0	4	68	8	0	0	0	8	95	13	0	0	4	1	0	0	1	8	
1	100	0	68	0	0	14	0	33	2	0	11	49	3	0	1	0	6	164	14	0	0	7	3	0	0	0	27	
1	119	0	53	0	0	11	0	45	0	0	34	52	0	0	3	0	4	239	15	1	0	8	0	3	1	1	29	
0	60	3	21	0	0	10	0	21	9	0	9	30	8	0	1	0	0	204	0	0	0	3	2	0	6	1	31	
0	54	2	39	0	0	16	0	37	1	0	1	52	3	0	0	0	1	172	9	0	0	2	2	1	4	2	17	
0	100	2	41	0	0	9	0	15	1	0	0	37	2	0	1	0	0	124	20	0	0	3	0	2	4	1	20	
1	83	2	41	0	0	9	0	16	2	0	17	28	0	0	2	0	3	146	27	0	0	2	0	2	0	1	40	
12	125	1	88	0	0	66	0	51	0	0	6	57	0	0	1	0	3	106	13	0	1	5	4	1	1	1	43	
0	69	4	38	3	0	20	0	27	0	0	6	17	0	0	0	0	0	117	6	3	0	3	2	0	1	2	33	
4	69	0	28	0	0	23	0	33	2	0	3	41	0	0	3	0	1	105	13	1	0	3	1	0	3	2	32	
11	23	3	46	0	0	82	0	19	0	0	2	28	0	0	0	0	0	32	23	1	1	6	2	1	1	1	34	
6	72	1	68	0	0	61	0	24	1	0	1	48	0	0	1	0	2	58	11	2	0	2	1	0	0	2	11	
18	127	0	24	1	0	31	0	8	0	0	0	27	8	0	1	0	0	132	8	0	0	4	1	0	0	0	13	
36	52	0	58	0	0	27	0	29	1	0	1	66	10	0	1	0	1	26	30	0	0	11	1	0	0	1	27	
33	126	0	19	0	0	16	0	18	0	0	1	44	0	0	1	0	0	104	24	0	1	19	1	2	2	0	20	
25	86	1	27	0	0	11	0	20	0	0	0	47	5	0	1	0	1	65	10	0	0	27	1	2	1	1	13	
24	47	0	29	1	0	10	0	10	1	0	1	67	16	0	1	0	1	106	14	0	1	13	0	3	0	1	16	
32	53	6	25	0	0	19	0	9	0	0	1	47	1	0	4	0	2	124	30	0	2	27	0	0	3	0	20	
9	25	2	21	1	0	27	0	6	4	0	3	36	0	0	3	0	1	125	27	0	0	9	1	2	1	1	9	
26	127	1	21	0	0	29	0	9	0	0	0	40	1	0	5	0	0	110	5	0	0	4	2	0	0	0	25	
37	67	0	40	0	0	30	0	22	0	0	2	79	1	0	1	0	0	145	44	1	0	8	2	2	1	0	15	
51	149	3	39	2	0	12	0	11	0	0	1	60	0	0	4	0	0	131	44	0	0	24	1	0	1	0	25	
43	63	3	15	0	0	9	0	6	0	0	1	33	1	0	1	0	0	134	6	0	2	7	1	2	0	0	14	
30	98	2	34	0	0	26	0	15	0	0	1	71	4	0	5	0	1	120	37	0	0	17	0	3	1	4	9	
42	101	2	23	0	0	16	0	15	2	0	4	44	3	0	3	0	2	138	38	0	0	5	2	3	1	1	13	
38	81	0	21	0	0	16	0	18	0	0	1	30	4	0	2	0	1	110	30	1	1	5	0	2	1	0	9	
30	116	2	20	0	0	10	0	6	0	0	3	40	0	0	0	0	0	114	37	0	0	6	0	1	0	1	6	
39	112	1	18	0	0	9	0	19	0	0	0	33	2	0	3	0	0	199	19	0	1	10	0	0	0	0	18	
34	105	1	11	0	0	16	0	13	0	0	3	24	0	0	2	0	0	107	3	1	0	10	0	0	0	0	12	
24	117	1	27	0	0	15	0	8	0	0	0	25	7	0	2	0	0	136	22	1	0	9	0	0	1	1	11	
23	185	0	26	0	0	75	0	13	0	0	0	54	0	0	1	0	0	145	9	1	1	8	1	0	0	1	24	
6	82	6	15	0	0	39	0	5	0	0	6	37	0	0	6	0	0	94	0	1	0	4	0	1	1	0	15	
20	120	1	14	0	0	8	0	7	0	0	0	46	0	0	1	0	1	135	15	0	0	5	0	0	0	0	18	
23	99	0	13	0	0	34	0	14	0	0	1	55	6	0	1	0	0	129	25	0	0	6	0	1	1	1	8	
25	122	1	9	0	0	14	0	8	0	0	0	33	1	0	0	0	0	161	18	0	0	8	1	0	4	0	21	
43	165	0	11	1	0	12	0	12	0	0	1	44	2	0	1	0	2	131	3	0	1	2	0	2	0	0	20	
36	74	4	9	0	0	10	0	14	0	0	0	40	2	0	3	0	0	165	21	0	0	6	0	1	0	0	6	
20	110	2	9	0	0	5	0	7	0	0	0	36	0	0	2	0	0	143	16	2	0	3	1	1	1	1	16	
15	121	2	14	1	0	16	0	12	0	0	0	39	0	0	3	0	1	141	26	0	0	0	0	1	1	1	17	
51	102	1	18	0	0	10	0	12	0	0	0	33	0	0	2	0	0	134	17	0	0	13	0	1	0	1	22	
31	16	2	15	0	0	17	0	10	0	0	0	46	3	0	7	0	0	152	3	1	0	3	0	1	1	0	21	
52	57	1	12	0	0	3	0	12	0	0	0	50	4	0	3	0	1	126	14	2	0	4	0	0	2	0	9	
33	100	0	12	0	0	17	0	7	0	0	1	49	0	0	1	0	1	149	12	3	1	11	0	3	2	1	15	
40	54	2	8	0	0	26	0	9	0	0	1	48	1	0	2	0	0	120	15	0	0	6	2	0	2	1	13	
25	47	2	24	0	0	23	0	6	0	0	0	58	5	0	1	0	1	130	13	0	0	3	0	0	1	2	13	
37	90	0	16	1	0	16	0	9	0	0	0	40	10	0	2	0	0	129	6	4	0	10	0	1	1	0	17	
36	185	0	9	0	0	22	0	10	0	0	0	39	7	0	1	0	0	96	35	1	1	4	0	1	2	0	19	
38	34	2	10	0	0	21	0	10	0	0	0	40	0	0	2	0	1	151	11	1	0	4	1	1	1	0	10	
21	63	3	20	0	0	18	0	8	0	0	0	46	8	0	2	0	0	112	3	0	1	9	1	1	2	0	6	
39	167	1	14	0	0	9	0	9	0	0	1	28	8	0	2	0	0	114	5	1	0	2	0	1	0	0	8	
46	43	0	24	0	0	22	0	12	0	0	0	49	9	0	4	0	0	126	16	0	0	4	0	0	0	1	18	
26	62	0	17	0	0	11	0	17	0	0	0	27	0	0	1	0	0	205	0	1	0	6	0	2	1	1	16	
40	82	0	11	1	0	13	0	9	0	0	1	36	10	0	3	0	0	138	9	0	0	9	0	1	3	0	15	
43	80	0	13	0	0	27	0	10	1	0	0	45	3	0	1	0	0	115	9	0	0	13	0	3	2	3	16	
32	96	2	19	0	0	19	0	16	1	0	0	47	8	0	0	0	0	153	4	1	0	10	1	1	2	0	18	
23	271	1	17	0	0	16	0	9	0	0	0	36	10	0	1	0	0	141	13	0	0	11	2	0	0	0	23	
45	31	0	14	0	0	15	0	13	0	0	1	38	9	0	1	0	0	124	10	1	0	5	0	1	0	0	12	
31	45	3	1	0	0	24	0	18	0	0	0	26	1	0	4	0	0	91	1	3	1	14	4	2	0	0	10	
29	1	1	10	0	0	18	0	7	1	0	0	45	4	0	1	0	0	141	5	0	0	8	0	1	3	0	13	
33	33	1	2	0	0	13	0	18	0	0	0	39	9	0	6	0	0	107	0	1	8	21	3	3	0	0	22	
27	1	0	7	0	0	15	0	15	0	0	0	70	2	0	3	0	0	157	0	0	1	8	0	0	3	0	16	
34	0	1	19	0	0	37	0	15	0	0	0	40	13	0	1	0	0	156	6	1	0	9	0	0	5	0	24	
3	49	1	0	0	0	31	0	5	0	0	0	52	12	0	4	0	0	136	0	0	4	26	1	1	0	0	10	
21	13	0	7	0	0	41	0	25	0	0	0	51	5	0	0	0	0	137	6	0	0	26	2	1	2	0	25	
2	29	0	7	0	0	32	0	6	0	0	0	52	0	0	1	0	0	138	0	0	2	13	0	0	0	0	8	
23	33	1	3	0	0	40	0	22	0	0	0	47	8	0	1	0	0	131	2	0	3	28	1	0	0	1	19	
18	32	3	5	0	0	49	0	10	1	0	0	41	0	0	1	0	0	155	2	0	3	22	1	3	4	0	10	
4	24	0	2	0	0	35	0	9	0	0	0	72	1	0	3	0	0	160	1	1	2	11	1	2	1	0	12	
1	35	0	6	0	0	41	0	14	1	0	13	45	0	0	0	0	0	269	0	0	5	5	1	3	1	0	17	
22	64	1	1	0	0	39	0	9	1	0	0	48	8	0	4	0	0	138	2	0	3	14	0	0	4	1	19	
20	50	1	2	0	0	40	0	5	1	0	0	89	6	0	4	0	0	127	2	1	0	16	2	2	1	0	19	
4	18	0	4	1	0	63	0	6	0	0	0	84	2	0	0	0	0	100	0	0	2	16	0	2	1	2	10	
1	27	0	2	0	0	46	0	5	0	0	0	44	9	0	2	0	0	133	0	2	4	15	2	0	0	0	16	
3	32	0	0	0	0	48	0	11	0	0	0	60	0	0	2	0	0	144	0	0	4	11	0	1	1	1	14	
1	41	3	2	0	0	20	0	10	0	0	1	38	6	0	1	0	0	133	2	1	6	7	5	0	0	0	11	
1	52	5	0	0	0	45	0	11	0	0	0	40	3	0	2	0	0	143	0	0	3	16	2	1	1	1	20	
6	47	0	0	0	0	32	0	6	0	0	0	46	0	0	4	0	0	159	1	2	2	21	2	1	1	0	19	
2	37	5	1	0	0	43	0	7	0	0	0	41	2	0	3	0	0	157	1	1	5	13	0	2	2	1	24	
1	3	2	0	0	0	50	0	13	0	0	0	22	3	0	1	0	0	134	0	2	7	22	0	4	0	2	32	
1	17	0	1	0	0	53	0	8	0	0	0	27	7	0	1	0	0	147	0	1	2	22	1	0	1	0	21	
1	4	0	0	0	0	34	0	4	0	0	0	35	7	0	2	0	1	123	1	0	2	20	1	2	2	1	18	
1	1	5	1	0	0	46	0	9	0	0	0	9	5	0	0	0	0	184	0	6	5	17	0	2	0	1	17	
2	3	0	0	0	0	43	0	6	0	0	0	25	0	0	2	0	1	145	1	2	2	14	1	2	1	0	21	
2	1	1	0	0	0	36	0	3	0	0	0	28	4	0	1	0	0	161	0	0	1	25	1	1	2	0	19	
1	4	3	1	0	0	57	0	4	0	0	0	9	1	0	0	0	0	152	0	3	6	27	0	6	3	0	27	
1	2	0	0	0	0	40	0	10	0	0	0	20	0	0	1	0	0	153	2	0	0	17	0	3	0	0	13	
