Abies	Alnus	Betula	Carpinus	Castanea	Cedrus	Corylus	Ephedra	Fagus	Juniperus	Larix	Olea	Ostrya	"Phillyrea,"	Picea	Pinus.D	Pinus.H	Pistacia	Quercus.D	Quercus.E	Salix	Tilia	Ulmus	Artemisia	Chenopodiaceae	Cyperaceae	Ericales	Gramineae
0	3	39	0	7	0	13	0	0	0	0	13	0	0	0	7	0	0	55	0	0	0	1	1	2	3	55	125
0	2	147	0	7	0	10	0	0	0	0	1	0	0	0	2	0	0	60	0	0	0	0	2	0	5	27	111
0	6	137	0	3	0	5	0	1	0	0	3	0	0	0	2	0	0	37	0	0	0	0	1	0	1	23	85
0	2	127	0	5	0	10	0	0	1	0	0	0	0	0	4	0	0	48	0	1	0	0	3	0	6	23	69
0	4	107	0	8	0	5	0	0	0	0	0	0	0	0	3	0	0	32	0	1	0	0	2	0	3	33	123
0	6	237	1	5	0	7	0	0	0	0	0	0	0	0	2	0	0	50	0	0	0	0	3	0	7	33	100
0	2	134	0	4	0	15	0	0	0	0	0	3	0	0	3	0	0	40	0	1	0	0	0	0	2	24	101
0	3	179	0	2	0	7	0	0	0	0	0	0	0	0	2	0	0	25	0	0	0	1	0	0	2	20	95
0	5	205	0	1	0	2	0	1	0	0	0	0	0	0	2	0	0	47	0	0	0	0	0	1	2	19	86
0	3	177	0	2	0	2	0	0	1	0	0	0	0	0	2	0	0	40	0	1	0	0	2	0	1	18	80
0	0	74	0	2	0	3	0	1	1	0	0	0	0	0	3	0	0	53	0	0	0	0	3	0	3	53	162
0	3	61	1	7	0	3	0	2	0	0	1	0	0	0	3	0	0	75	0	0	0	0	6	0	2	44	169
0	6	25	0	3	0	2	0	1	0	0	2	0	0	0	6	0	0	108	0	0	0	0	2	2	5	47	131
0	5	73	0	0	0	15	0	2	0	0	1	0	0	0	11	0	0	79	0	0	0	1	4	0	3	30	129
0	8	10	0	3	0	4	0	0	1	0	0	0	0	0	11	0	0	93	0	0	0	1	2	0	5	36	161
0	8	10	0	4	0	10	0	3	2	0	0	0	0	0	3	0	0	87	0	0	0	3	5	1	5	38	161
0	4	28	0	1	0	3	0	0	0	0	2	0	0	0	14	0	0	109	0	0	0	1	4	0	1	34	100
0	2	49	0	0	0	9	0	0	1	0	0	0	0	0	8	0	0	66	0	0	0	3	0	1	5	49	142
0	0	99	0	0	0	6	0	1	2	0	1	0	0	0	17	0	0	90	0	0	0	1	1	0	0	26	102
0	5	45	0	0	0	11	0	0	1	0	0	0	0	0	22	0	0	69	0	0	0	0	1	0	2	40	118
0	7	40	0	0	0	21	0	0	0	0	0	0	0	2	21	0	0	107	0	0	0	1	1	0	1	26	101
0	13	56	0	0	0	7	0	0	0	0	0	0	0	0	30	0	0	114	0	1	0	0	4	0	5	33	76
0	3	75	0	1	0	11	0	0	0	0	1	0	0	0	37	0	0	124	0	0	0	0	1	1	3	11	54
0	3	105	0	0	0	12	0	0	1	0	0	0	0	0	34	0	0	52	0	0	0	0	0	1	0	15	82
0	5	83	0	1	0	14	0	0	1	0	2	0	0	0	35	0	0	78	0	0	0	1	0	0	0	13	108
